0,0,1,1,0,wall
1,0,1,1,0,wall
2,0,1,1,0,wall
3,0,1,1,0,wall
4,0,1,1,0,wall
5,0,1,1,0,wall
6,0,1,1,0,wall
7,0,1,1,0,wall
8,0,1,1,0,wall
9,0,1,1,0,wall
10,0,1,1,0,wall
11,0,1,1,0,wall
12,0,1,1,0,wall
0,1,1,1,0,wall
1,1,1,1,1,sand
2,1,1,1,1,sand
3,1,1,1,1,sand
4,1,1,1,1,sand
5,1,1,1,1,sand
6,1,1,1,1,sand
7,1,1,1,1,sand
8,1,1,1,1,sand
9,1,1,1,1,sand
10,1,1,1,1,sand
11,1,1,1,1,sand
12,1,1,1,0,wall
0,2,1,1,0,wall
1,2,1,1,1,sand
2,2,1,1,1,sand
3,2,1,1,1,sand
4,2,1,1,1,sand
5,2,1,1,1,sand
6,2,1,1,1,sand
7,2,1,1,1,sand
8,2,1,1,1,sand
9,2,1,1,1,sand
10,2,1,1,1,sand
11,2,1,1,1,sand
12,2,1,1,0,wall
0,3,1,1,0,wall
1,3,1,1,1,sand
2,3,1,1,1,sand
3,3,1,1,1,sand
4,3,1,1,1,sand
5,3,1,1,1,sand
6,3,1,1,1,sand
7,3,1,1,1,sand
8,3,1,1,1,sand
9,3,1,1,1,sand
10,3,1,1,1,sand
11,3,1,1,1,sand
12,3,1,1,0,wall
0,4,1,1,0,wall
1,4,1,1,1,sand
2,4,1,1,1,sand
3,4,1,1,1,sand
4,4,1,1,1,sand
5,4,1,1,1,sand
6,4,1,1,1,sand
7,4,1,1,1,sand
8,4,1,1,1,sand
9,4,1,1,1,sand
10,4,1,1,1,sand
11,4,1,1,1,sand
12,4,1,1,0,wall
0,5,1,1,0,wall
1,5,1,1,1,sand
2,5,1,1,1,sand
3,5,1,1,1,sand
4,5,1,1,1,sand
5,5,1,1,1,sand
6,5,1,1,1,sand
7,5,1,1,1,sand
8,5,1,1,1,sand
9,5,1,1,1,sand
10,5,1,1,1,sand
11,5,1,1,1,sand
12,5,1,1,0,wall
0,6,1,1,0,wall
1,6,1,1,1,sand
2,6,1,1,1,sand
3,6,1,1,1,sand
4,6,1,1,1,sand
5,6,1,1,1,sand
6,6,1,1,1,sand
7,6,1,1,1,sand
8,6,1,1,1,sand
9,6,1,1,1,sand
10,6,1,1,1,sand
11,6,1,1,1,sand
12,6,1,1,0,wall
13,6,1,1,0,wall
14,6,1,1,0,wall
15,6,1,1,0,wall
16,6,1,1,0,wall
17,6,1,1,0,wall
18,6,1,1,0,wall
19,6,1,1,0,wall
20,6,1,1,0,wall
0,7,1,1,0,wall
1,7,1,1,1,sand
2,7,1,1,1,sand
3,7,1,1,1,sand
4,7,1,1,1,sand
5,7,1,1,1,sand
6,7,1,1,1,sand
7,7,1,1,1,sand
8,7,1,1,1,sand
9,7,1,1,1,sand
10,7,1,1,1,sand
11,7,1,1,1,sand
12,7,1,1,1,sand
13,7,1,1,1,sand
14,7,1,1,1,sand
15,7,1,1,1,sand
16,7,1,1,1,sand
17,7,1,1,1,sand
18,7,1,1,1,sand
19,7,1,1,1,sand
20,7,1,1,0,wall
0,8,1,1,0,wall
1,8,1,1,1,sand
2,8,1,1,1,sand
3,8,1,1,1,sand
4,8,1,1,1,sand
5,8,1,1,1,sand
6,8,1,1,1,sand
7,8,1,1,1,sand
8,8,1,1,1,sand
9,8,1,1,1,sand
10,8,1,1,1,sand
11,8,1,1,1,sand
12,8,1,1,1,sand
13,8,1,1,1,sand
14,8,1,1,1,sand
15,8,1,1,1,sand
16,8,1,1,1,sand
17,8,1,1,1,sand
18,8,1,1,1,sand
19,8,1,1,1,sand
20,8,1,1,0,wall
0,9,1,1,0,wall
1,9,1,1,1,sand
2,9,1,1,1,sand
3,9,1,1,1,sand
4,9,1,1,1,sand
5,9,1,1,1,sand
6,9,1,1,1,sand
7,9,1,1,1,sand
8,9,1,1,1,sand
9,9,1,1,1,sand
10,9,1,1,1,sand
11,9,1,1,1,sand
12,9,1,1,0,wall
13,9,1,1,0,wall
14,9,1,1,0,wall
15,9,1,1,0,wall
16,9,1,1,0,wall
17,9,1,1,0,wall
18,9,1,1,1,sand
19,9,1,1,1,sand
20,9,1,1,0,wall
26,9,1,1,0,wall
27,9,1,1,0,wall
28,9,1,1,0,wall
29,9,1,1,0,wall
30,9,1,1,0,wall
31,9,1,1,0,wall
32,9,1,1,0,wall
33,9,1,1,0,wall
34,9,1,1,0,wall
0,10,1,1,0,wall
1,10,1,1,1,sand
2,10,1,1,1,sand
3,10,1,1,1,sand
4,10,1,1,1,sand
5,10,1,1,1,sand
6,10,1,1,1,sand
7,10,1,1,1,sand
8,10,1,1,1,sand
9,10,1,1,1,sand
10,10,1,1,1,sand
11,10,1,1,1,sand
12,10,1,1,0,wall
13,10,1,1,0,wall
14,10,1,1,0,wall
15,10,1,1,0,wall
16,10,1,1,0,wall
17,10,1,1,0,wall
18,10,1,1,1,sand
19,10,1,1,1,sand
20,10,1,1,0,wall
26,10,1,1,0,wall
27,10,1,1,1,sand
28,10,1,1,1,sand
29,10,1,1,1,sand
30,10,1,1,1,sand
31,10,1,1,1,sand
32,10,1,1,1,sand
33,10,1,1,1,sand
34,10,1,1,0,wall
0,11,1,1,0,wall
1,11,1,1,1,sand
2,11,1,1,1,sand
3,11,1,1,1,sand
4,11,1,1,1,sand
5,11,1,1,1,sand
6,11,1,1,1,sand
7,11,1,1,1,sand
8,11,1,1,1,sand
9,11,1,1,1,sand
10,11,1,1,1,sand
11,11,1,1,1,sand
12,11,1,1,0,wall
13,11,1,1,0,wall
14,11,1,1,0,wall
15,11,1,1,0,wall
16,11,1,1,0,wall
17,11,1,1,0,wall
18,11,1,1,1,sand
19,11,1,1,1,sand
20,11,1,1,0,wall
26,11,1,1,0,wall
27,11,1,1,1,sand
28,11,1,1,1,sand
29,11,1,1,1,sand
30,11,1,1,1,sand
31,11,1,1,1,sand
32,11,1,1,1,sand
33,11,1,1,1,sand
34,11,1,1,0,wall
0,12,1,1,0,wall
1,12,1,1,1,sand
2,12,1,1,1,sand
3,12,1,1,1,sand
4,12,1,1,1,sand
5,12,1,1,1,sand
6,12,1,1,1,sand
7,12,1,1,1,sand
8,12,1,1,1,sand
9,12,1,1,1,sand
10,12,1,1,1,sand
11,12,1,1,1,sand
12,12,1,1,0,wall
13,12,1,1,0,wall
14,12,1,1,0,wall
15,12,1,1,0,wall
16,12,1,1,0,wall
17,12,1,1,0,wall
18,12,1,1,1,sand
19,12,1,1,1,sand
20,12,1,1,0,wall
21,12,1,1,0,wall
22,12,1,1,0,wall
23,12,1,1,0,wall
24,12,1,1,0,wall
25,12,1,1,0,wall
26,12,1,1,0,wall
27,12,1,1,1,sand
28,12,1,1,1,sand
29,12,1,1,1,sand
30,12,1,1,1,sand
31,12,1,1,1,sand
32,12,1,1,1,sand
